# PRN        X (m)              Y (m)              Z (m)
G 0      2754623.106     26256277.738      1652733.903
G 0    -18222828.070     -2280910.614    -19093806.065
G 1    -16714517.961     12637313.194    -16688597.946
G 1    -15933371.882     -6698720.371     20449498.106
G 1     13723148.855    -22515356.932     -3103759.312
G 1     12623004.877     16104004.056    -16576896.794
G 1      3242532.632     24642465.836      8628156.635
G 1     -7586750.155     14643292.693     20549416.750
G 1    -21551834.085    -14690502.167     -5116865.829
G 1     17399142.361    -12459272.899    -16116539.663
G 1     15376271.862      7185647.993     20705937.499
G 1    -13924873.941     22269598.124     -3850993.330
G 1    -12465894.564    -16718408.144    -16076859.336
G 1      8008120.640    -14147764.274     20738447.140
G 2     16135731.413       400948.410    -20989506.607
G 2     -2138115.471     25681937.310      6373097.925
G 2    -19814174.998     -9876704.419     14796543.857
G 2       543524.159    -16173701.194    -21163426.856
G 2     25767446.302      1900251.869      6210035.381
G 2     -9770164.691     19757653.336     14695617.199
G 2    -19361954.392     10974771.938    -14334043.418
G 2    -15828524.515     -1264948.264    -21188946.261
G 2      2455486.417    -25460556.258      7110675.438
G 2     19924972.363     10365734.644     14306766.126
G 2     -1403350.713     15867915.016    -21353772.055
G 2    -25583993.778     -2172040.647      6841705.565
