# PRN        X (m)              Y (m)              Z (m)
C 8      7321092.104    -41349307.252     -4493992.187
C 8      7320186.545    -40519446.477     -4306044.390
C 8      7321414.728    -39564430.592     -4071058.831
C 8      7323962.363    -38753574.672     -3805102.950
C 8      7326630.192    -38377494.324     -3526380.563
C 8      7328709.909    -38678591.844     -3254000.761
C 8      7329678.078    -39710921.017     -3006661.558
C 8      7329135.944    -41127239.478     -2801355.890
C 8      7327261.972    -42054560.303     -2652196.586
C 8      7324927.788    -41460138.430     -2569429.728
C 8      7322984.471    -39059282.846     -2558722.279
C 8      7321919.482    -35726876.557     -2620782.527
C 8      7321963.316    -32743781.206     -2751319.191
C 8      7323078.622    -30923421.340     -2941340.852
C 8      7325145.366    -30452511.628     -3177769.470
C 8      7328143.215    -31137121.976     -3444336.406
C 8      7331627.728    -32638162.538     -3722733.811
C 8      7334502.060    -34596716.754     -3993900.386
C 9     11995297.226     -4051299.757    -21728255.188
C 9     15836936.244     12246973.886    -22558485.724
C 9     21060240.567     20870352.748    -18119587.846
C 9     25501069.676     17815336.773     -9453927.603
C 9     26890625.820      5383839.598      1415917.225
C 9     24056341.938     -9109359.066     11961650.336
C 9     17578777.613    -17277881.749     19719477.162
C 9      9536308.698    -14212705.822     22880468.900
C 9      2441422.675     -1141120.984     20719768.126
C 9     -2015346.854     15242667.603     13739080.415
C 9     -3747604.496     26323825.583      3556302.634
C 9     -4209560.852     26177374.394     -7451245.204
C 9     -5505501.259     14769310.890    -16718219.209
C 9     -9142620.754     -2043223.869    -22091806.368
C 9    -15103989.038    -15624351.595    -22311830.037
C 9    -21751101.339    -19161295.992    -17320437.559
C 9    -10623808.431      6307067.389     25001886.060
C 9    -26636054.155    -11335348.638     -8289639.344
C 9    -27764467.318      3014046.699      2674639.370
C 9    -24620236.467     15532156.472     13021390.927
C 9    -18445813.215     18851295.521     20332295.345
C 9    -11604040.271     10600524.184     22904679.055
C 9     -6341290.325     -5310148.664     20150585.788
C 9     -3658912.390    -20782416.578     12707856.660
C 9     -2880885.980    -27816166.249      2303225.906
C 0     17232457.050     17477367.395    -19153475.356
C 0     19833341.675     25184723.421    -11370404.166
C 0     21660765.860     20799816.802     -1474379.853
C 0     20587839.432      6988024.930      8359789.197
C 0     15603520.562     -8633416.216     16228550.670
C 0      7430040.907    -17543850.315     20728039.203
C 0     -1749619.422    -14841572.267     21052242.308
C 0     -9359304.125     -1878456.633     17070741.703
C 0    -13711620.218     14488907.446      9381632.081
C 0    -14776603.159     25555503.963      -663164.555
C 0    -14072292.379     25355228.206    -11022545.268
C 0    -13757475.772     13835107.326    -19283958.942
C 0    -15386756.435     -3157124.042    -23249505.775
C 0    -19004076.728    -17047676.389    -21590308.583
C 0    -23065575.242    -21089092.937    -14374408.951
C 0    -25247301.984    -13950191.052     -3254477.288
C 0    -23711759.088      -377636.517      8897081.044
C 0    -18119542.758     11481164.425     18817179.603
C 0     -9865282.857     14540274.233     23817290.701
C 0     -1426861.625      6655701.856     22603067.671
C 0      4876058.296     -8162394.575     15657163.226
C 0      8028723.807    -21925870.872      4998618.225
C 0      8730353.858    -26970701.950     -6511461.220
C 0      8893163.150    -20105511.759    -16015619.255
C 1    -12337652.825    -27363161.518      4812755.569
C 1    -12119185.762    -21631973.799     -5742342.615
C 1     -9377126.720     -6875855.872    -14610229.073
C 1     -3279196.265      9077441.265    -20106135.386
C 1      5298455.008     17824853.239    -21363855.169
C 1     14115182.495     14837206.955    -18302501.821
C 1     20634739.164      1879518.091    -11536407.635
C 1     23288468.478    -13906504.268     -2289901.101
C 1     22229093.510    -23832938.489      7717276.380
C 1     19156120.256    -22285770.691     16446383.939
C 1     16346449.959     -9691568.276     21854042.883
C 1     15405504.360      7715662.314     22392096.355
C 1     16398215.424     21258800.181     17539520.303
C 1     17837580.565     24436294.511      8130933.046
C 1     17529993.594     16314450.665     -3665837.121
C 1     13827254.785      1963610.061    -14819447.778
C 1      6602772.330    -10348827.707    -22298975.437
C 1     -2585586.261    -13683771.098    -24009535.945
C 1    -11206349.881     -6184321.261    -19451173.741
C 1    -16979422.720      7900288.478     -9900940.032
C 1    -18996583.902     20517046.563      1989353.057
C 1    -18104530.280     24221409.296     13052993.019
C 1    -16340784.752     16246328.103     20549318.862
C 1    -15761144.604        79862.347     22869999.016
C 2      -250558.679    -20938390.346    -12106101.033
C 2      2588672.674     -5369612.400    -19170463.091
C 2      8195010.008     10909256.979    -21818562.411
C 2     15639389.207     19584215.332    -19827364.523
C 2     22701420.070     16410728.615    -13857298.557
C 2     26961886.016      3452647.081     -5173118.564
C 2     27020145.998    -11992125.705      4576928.392
C 2     23220191.897    -21266781.647     13548584.029
C 2     17447623.532    -19004456.182     19930526.948
C 2     12108922.450     -5962862.161     22221828.416
C 2      8883401.691     11394777.757     19585869.807
C 2      7887093.928     24329212.027     12231109.458
C 2      7685598.556     26497324.401      1589191.320
C 2      6162166.387     17271419.777     -9880290.335
C 2      1766424.982      1970199.913    -19236094.580
C 2     -5526635.613    -11032284.382    -23870909.766
C 2    -14086226.841    -14854614.380    -22367582.092
C 2    -21399717.030     -7822487.656    -15008685.432
C 2    -25302884.545      5678590.395     -3738246.529
C 2    -25043200.644     17593366.944      8386527.870
C 2    -21635933.142     20616295.545     18129401.692
C 2    -17272460.322     12238923.532     23063126.876
C 2    -14112508.930     -3840206.533     22196333.894
C 2    -13141360.673    -19624428.717     16099481.924
C 3     -2413057.709    -13135861.108    -23966249.733
C 3    -11442192.466    -12676285.415    -21896272.296
C 3    -18671075.767     -2250722.055    -14106164.355
C 3    -22296429.960     12034335.847     -2736273.842
C 3    -22125652.154     21804678.664      9124601.666
C 3     16838303.837     15441876.881    -11878686.823
C 3    -19587978.787     20989598.289     18378547.141
C 3    -16905130.725      9185498.909     22814217.785
C 3    -15853729.258     -8046093.562     21649144.023
C 3    -16793899.974    -22112533.645     15557592.433
C 3    -18488107.700    -25947649.958      6285561.753
C 3    -18802330.155    -17804016.441     -3931150.940
C 3    -15913900.781     -2230916.905    -12941733.001
C 3     -9368422.498     12334998.834    -19070559.974
C 3      -424949.166     18043755.186    -21277855.344
C 3      8496561.405     11808968.927    -19197702.527
