# Time (min)   PRN   dX (m)   dY (m)   dZ (m)   3D Error (m)   dClk (m)
# ----------------------------------------------------------------------
         360   G06    0.2625    0.8295   -0.7154         1.1264   1149.7160
         360   G08   -1.1743   -0.5568    0.1664         1.3103    100.6748
         360   G09   -1.8463   -0.1184    0.4540         1.9049    308.1946
         360   G10    2.6785   -1.4124    0.2799         3.0409   7865.2302
         360   G11   -0.4422    1.6750   -1.1800         2.0961   3490.6169
         360   G12    0.0199   -0.8004    0.7714         1.1118   5428.9767
         360   G13    1.3652    0.7279   -0.9460         1.8134      1.0482
         360   G14   -1.5750   -0.8686    0.1499         1.8049    891.9501
         360   G15   -0.1645   -0.7435   -0.5942         0.9659   6505.9799
         360   G16   -0.7615   -0.6316    1.4364         1.7442     27.3316
         360   G17   -0.1484   -0.1448    0.1155         0.2374   8719.3215
         360   G18   -0.4836    2.9377   -1.4450         3.3094   7029.8373
         360   G19   -1.1717    0.3253   -0.4743         1.3052   6426.4535
         360   G20    0.8098   -1.3023   -0.7671         1.7147   5611.5406
         360   G21   -0.5135   -1.7065   -0.1570         1.7890     44.8003
         360   G22   -0.0227   -0.4001   -0.0714         0.4071   3632.2894
         360   G23   -0.6393   -1.5892   -0.4773         1.7782   6852.4727
         360   G24    0.7728   -0.3029   -0.9902         1.2920     73.2756
         360   G25    0.2834   -0.9441    1.5108         1.8039      6.8724
         360   G26   -1.1295   -0.2506    0.7638         1.3863    670.5726
         360   G27   -1.5514    0.0203   -0.6124         1.6680   2053.6228
         360   G28   -0.2603    1.0799   -0.8986         1.4288   3530.5030
         360   G29   -0.0934    0.2945    0.1191         0.3311    834.6781
         360   G30   -0.6038    0.8781    0.6696         1.2586    659.1527
         360   G31   -1.2482    0.6817    0.7905         1.6271     90.3014
         360   G32   -0.5644   -0.6550   -0.7549         1.1478   3734.4718
         390   G01   -0.6725   -0.1706   -0.8830         1.1229   1324.9936
         390   G02    0.6497   -1.2302    1.3630         1.9476   2897.5990
         390   G03   -0.6273   -0.8759   -2.8267         3.0251     10.9535
         390   G05    1.0511   -0.2403   -0.5484         1.2097      2.4100
         390   G06    0.1632    0.6971   -0.9347         1.1774   1150.3831
         390   G08   -0.9966   -0.7529    0.5216         1.3536    100.7742
